timestamp,device_id,device_name,data_label,value
"12/03/2568 16:14:38","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.7"
"12/03/2568 16:09:47","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.5"
"12/03/2568 16:04:56","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.2"
"12/03/2568 16:02:30","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.1"
"12/03/2568 16:00:05","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.3"
"12/03/2568 15:57:39","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.8"
"12/03/2568 15:52:48","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.6"
"12/03/2568 15:50:23","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.5"
"12/03/2568 15:48:32","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.3"
"12/03/2568 15:46:07","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.1"
"12/03/2568 15:41:16","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.5"
"12/03/2568 15:36:25","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.8"
"12/03/2568 15:33:59","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.8"
"12/03/2568 15:31:34","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.6"
"12/03/2568 15:29:08","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.4"
"12/03/2568 15:24:17","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.6"
"12/03/2568 15:21:52","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.2"
"12/03/2568 15:19:11","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.3"
"12/03/2568 15:14:20","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.2"
"12/03/2568 15:11:55","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.2"
"12/03/2568 15:09:28","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.2"
"12/03/2568 15:07:02","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.1"
"12/03/2568 15:04:34","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.1"
"12/03/2568 15:02:09","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27"
"12/03/2568 15:00:28","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27"
"12/03/2568 14:55:33","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.9"
"12/03/2568 14:53:08","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.8"
"12/03/2568 14:50:45","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.8"
"12/03/2568 14:48:19","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","26.7"
"12/03/2568 14:45:54","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27"
"12/03/2568 14:41:03","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27"
"12/03/2568 14:38:35","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.2"
"12/03/2568 14:36:06","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.3"
"12/03/2568 14:33:40","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.4"
"12/03/2568 14:28:47","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.5"
"12/03/2568 14:23:54","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.6"
"12/03/2568 14:21:28","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.8"
"12/03/2568 14:18:57","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.8"
"12/03/2568 14:17:15","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.8"
"12/03/2568 14:14:50","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.8"
"12/03/2568 14:12:24","ac808c50-f96a-11ef-8636-93168e2858a5","ADM","temperature_08","27.8"
